[2026-04-08 00:36:52] API request failed for station_id 295
[2026-04-08 01:41:53] Invalid API response for station_id 295
[2026-04-08 01:41:57] Invalid API response for station_id 295
[2026-04-08 01:53:48] Invalid API response for station_id 295
[2026-04-08 01:53:52] Invalid API response for station_id 295
[2026-04-08 01:53:57] Invalid API response for station_id 220
[2026-04-08 01:53:57] Invalid API response for station_id 220
[2026-04-08 01:54:02] Invalid API response for station_id 220
[2026-04-08 01:54:08] Invalid API response for station_id 220
[2026-04-08 01:54:27] Invalid API response for station_id 220
[2026-04-08 01:54:28] Invalid API response for station_id 220
[2026-04-08 01:54:28] Invalid API response for station_id 220
[2026-04-08 01:54:28] Invalid API response for station_id 220
[2026-04-08 01:54:32] Invalid API response for station_id 220
[2026-04-08 01:54:37] Invalid API response for station_id 220
[2026-04-08 01:54:43] Invalid API response for station_id 220
[2026-04-08 01:54:48] Invalid API response for station_id 220
[2026-04-08 01:54:52] Invalid API response for station_id 220
[2026-04-08 01:54:57] Invalid API response for station_id 220
[2026-04-08 01:55:00] Invalid API response for station_id 220
[2026-04-08 01:55:02] Invalid API response for station_id 220
[2026-04-08 01:55:23] Invalid API response for station_id 220
[2026-04-08 01:55:27] Invalid API response for station_id 220
[2026-04-08 01:55:32] Invalid API response for station_id 220
[2026-04-08 01:55:38] Invalid API response for station_id 220
[2026-04-08 01:55:42] Invalid API response for station_id 220
[2026-04-08 01:55:47] Invalid API response for station_id 220
[2026-04-08 01:55:52] Invalid API response for station_id 220
[2026-04-08 01:55:57] Invalid API response for station_id 220
[2026-04-08 01:55:57] Invalid API response for station_id 220
[2026-04-08 01:56:03] Invalid API response for station_id 220
[2026-04-08 01:56:07] Invalid API response for station_id 220
[2026-04-08 01:56:12] Invalid API response for station_id 220
[2026-04-08 01:56:17] Invalid API response for station_id 220
[2026-04-08 01:56:22] Invalid API response for station_id 220
[2026-04-08 01:56:28] Invalid API response for station_id 220
[2026-04-08 01:56:32] Invalid API response for station_id 220
[2026-04-08 01:56:37] Invalid API response for station_id 220
[2026-04-08 01:56:42] Invalid API response for station_id 220
[2026-04-08 01:56:47] Invalid API response for station_id 220
[2026-04-08 01:56:53] Invalid API response for station_id 220
[2026-04-08 02:14:33] Invalid API response for station_id 295
[2026-04-08 02:35:33] Invalid API response for station_id 295
[2026-04-08 02:35:58] Invalid API response for station_id 295
[2026-04-08 02:35:58] Invalid API response for station_id 295
[2026-04-08 02:35:58] Invalid API response for station_id 295
[2026-04-08 02:35:58] Invalid API response for station_id 295
[2026-04-08 02:35:59] Invalid API response for station_id 295
[2026-04-08 02:36:03] Invalid API response for station_id 295
[2026-04-08 02:36:08] Invalid API response for station_id 295
[2026-04-08 02:36:09] Invalid API response for station_id 295
[2026-04-08 02:36:12] Invalid API response for station_id 295
[2026-04-08 02:36:18] Invalid API response for station_id 295
[2026-04-08 02:36:22] Invalid API response for station_id 295
[2026-04-08 02:36:27] Invalid API response for station_id 295
[2026-04-08 02:36:33] Invalid API response for station_id 295
[2026-04-08 02:49:33] Invalid API response for station_id 295
[2026-04-08 02:53:12] Invalid API response for station_id 295
[2026-04-08 02:53:12] Invalid API response for station_id 295
[2026-04-08 02:53:12] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:13] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:16] Invalid API response for station_id 295
[2026-04-08 02:53:18] Invalid API response for station_id 295
[2026-04-08 03:01:28] Invalid API response for station_id 295
[2026-04-08 04:16:44] Invalid API response for station_id 295
[2026-04-08 04:31:48] Invalid API response for station_id 295
