[2026-05-09 00:06:58] cURL Failed for station 295: Resolving timed out after 5000 milliseconds
[2026-05-09 00:06:58] cURL Failed for station 295: Resolving timed out after 5000 milliseconds
[2026-05-09 00:06:58] cURL Failed for station 295: Resolving timed out after 5000 milliseconds
[2026-05-09 00:06:58] cURL Failed for station 295: SSL connection timeout
[2026-05-09 00:06:59] cURL Failed for station 295: Operation timed out after 5000 milliseconds with 0 bytes received
[2026-05-09 00:06:59] cURL Failed for station 295: Operation timed out after 5027 milliseconds with 0 bytes received
[2026-05-09 00:06:59] cURL Failed for station 295: Operation timed out after 5000 milliseconds with 0 bytes received
[2026-05-09 02:08:55] Invalid JSON or Status 0 for station 295
[2026-05-09 02:08:55] Invalid JSON or Status 0 for station 295
[2026-05-09 02:08:59] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:30] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:31] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:32] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:32] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 04:10:33] Invalid JSON or Status 0 for station 295
[2026-05-09 10:27:43] cURL Failed for station 220: Resolving timed out after 5000 milliseconds
